名前,かな,緯度,経度,標高
杢蔵山,もくぞうやま,38.78944444444444,140.4013888888889,1026
禿岳,かむろだけ,38.81083333333333,140.595,1261
箟岳山,ののだけやま,38.56583333333333,141.1786111111111,236
大高森,おおたかもり,38.34055555555556,141.1525,105
翁山,おきなさん,38.65083333333333,140.54472222222222,1075
薬萊山,やくらいさん,38.57555555555556,140.70527777777778,553
船形山,ふながたやま,38.455555555555556,140.62,1500
泉ヶ岳,いずみがたけ,38.411944444444444,140.70888888888888,1175
太白山,たいはくさん,38.235,140.80222222222224,321
大東岳,だいとうだけ,38.30222222222222,140.52361111111114,1365
蔵王山<熊野岳>,ざおうざん,38.14361111111111,140.44,1841
蔵王山<刈田岳>,ざおうざん,38.12777777777778,140.44805555555556,1758
蔵王山<屛風岳>,ざおうざん,38.09583333333334,140.47611111111112,1825
蔵王山<不忘山,ざおうざん,38.07555555555556,140.4788888888889,1705
青麻山,あおそやま,38.084722222222226,140.6075,799
栗子山,くりこやま,37.87444444444444,140.27,1217
信夫山,しのぶやま,37.770833333333336,140.46166666666664,275
西吾妻山,にしあづまやま,37.73833333333334,140.14083333333332,2035
西吾妻山<西大巓>,にしあづまやま<にしだいてん>,37.73388888888889,140.1277777777778,1982
西吾妻山<東大巓>,にしあづまやま<ひがしだいてん>,37.754444444444445,140.1888888888889,1928
東吾妻山,ひがしあづまやま,37.711666666666666,140.2302777777778,1975
東吾妻山<一切経山>,ひがしあづまやま<いっさいきょうざん>,37.73527777777778,140.24444444444444,1949
東吾妻山<吾妻小富士>,ひがしあづまやま<あづまこふじ>,37.72222222222222,140.26361111111112,1707
箕輪山,みのわやま,37.64722222222222,140.28083333333333,1728
安達太良山<鉄山>,あだたらやま<てつざん>,37.63305555555556,140.28305555555556,1709
安達太良山,あだたらやま,37.62111111111111,140.28777777777776,1700
磐梯山,ばんだいさん,37.60111111111111,140.07222222222222,1816
高館山s,たかだてやま,38.76305555555555,139.74749999999997,273
金峯山,きんぼうざん,38.68222222222222,139.79805555555555,471
羽黒山,はぐろさん,38.7025,139.98277777777778,414
月山,がっさん,38.54888888888889,140.02694444444447,1984
葉山,はやま,38.52916666666667,140.21055555555554,1462
温海岳,あつみだけ,38.62,139.63083333333333,736
摩耶山,まやさん,38.52027777777778,139.7277777777778,1020
以東岳,いとうだけ,38.34305555555556,139.8491666666667,1772
朝日岳<大朝日岳>,あさひだけ<おおあさひだけ>,38.260555555555555,139.92222222222222,1871
祝瓶山s,いわいがめやま,38.1975,139.87972222222223,1417
鷲ヶ巣山,わしがすやま,38.221944444444446,139.6688888888889,1093
新保岳,しんぼだけ,38.361111111111114,139.51083333333332,852
白鷹山,しらたかやま,38.22277777777778,140.17305555555555,994
杁差岳,えぶりさしだけ,37.942499999999995,139.60888888888888,1636
北股岳,きたまただけ,37.88,139.63861111111112,2025
飯豊山,いいでさん,37.85472222222222,139.7072222222222,2105
大日岳,だいにちだけ,37.83277777777778,139.6602777777778,2128
二王子岳,にのうじだけ,37.89972222222222,139.49916666666667,1420
五頭山,ごずさん,37.801111111111105,139.34555555555556,912
高陽山,こうようざん,37.72916666666667,139.6497222222222,1126
飯森山,いいもりさん,37.81388888888888,139.92555555555555,1595
霊山,りょうぜん,37.76888888888889,140.6875,825
日山,ひやま,37.543055555555554,140.6836111111111,1057
鎌倉岳,かまくらだけ,37.466944444444444,140.6888888888889,967
大滝根山,おおたきねやま,37.355000000000004,140.70166666666665,1192
屹兎屋山,きっとやさん,37.21055555555556,140.8675,875
蓬田岳,よもぎだだけ,37.26583333333333,140.53472222222223,952
三大明神山,さんだいみょうじんやま,37.051944444444445,140.7625,706
竪破山,たつわれさん,36.71083333333333,140.56222222222223,658
男体山,なんたいさん,36.72416666666667,140.41972222222222,654
高鈴山,たかすずやま,36.62111111111111,140.58777777777777,623
八溝山,やみぞさん,36.930277777777775,140.27305555555557,1022
吾国山,わがくにさん,36.32194444444445,140.2011111111111,518
加波山,かばさん,36.29888888888889,140.1436111111111,709
筑波山,つくばさん,36.22527777777778,140.10666666666665,877
三本槍岳,さんぼんやりだけ,37.150277777777774,139.96138888888888,1917
那須岳<茶臼岳>,なすだけ<ちゃうすだけ>,37.124722222222225,139.96305555555554,1915
男鹿岳,おがたけ,37.08527777777778,139.82194444444445,1777
大佐飛山,おおさびやま,37.06361111111111,139.84444444444446,1908
高原山<釈迦ヶ岳>,たかはらやま<しゃかがだけ>,36.9,139.77666666666667,1795
女峰山,にょほうさん,36.811388888888885,139.5363888888889,2483
女峰山<大真名子山>,にょほうさん<おおまなごさん>,36.79527777777778,139.50722222222223,2376
女峰山<小真名子山>,にょほうさん<こまなごさん>,36.80722222222222,139.51083333333332,2323
太郎山,たろうさん,36.81777777777778,139.48277777777778,2368
男体山,なんたいさん,36.765,139.4908333333333,2486
白根山,しらねさん,36.79861111111111,139.37583333333333,2578
皇海山,すかいさん,36.69,139.33694444444444,2144
庚申山,こうしんざん,36.67305555555555,139.36111111111111,1892
袈裟丸山,けさまるやま,36.64944444444444,139.32722222222222,1961
横根山,よこねやま,36.61972222222222,139.52222222222224,1373
赤城山<黒檜山>,あかぎさん<くろびさん>,36.56027777777778,139.19333333333333,1828
赤城山<地蔵岳>,あかぎさん<じぞうだけ>,36.54111111111111,139.1772222222222,1674
博士山,はかせやま,37.363055555555555,139.7147222222222,1482
小野岳,おのだけ,37.325833333333335,139.88666666666666,1383
七ヶ岳<一番岳>,ななつがたけ<いちばんだけ>,37.12416666666667,139.6575,1636
荒海山,あらかいざん,37.03611111111111,139.6436111111111,1581
田代山,たしろやま,36.974444444444444,139.47833333333332,1971
帝釈山,たいしゃくざん,36.969722222222224,139.45999999999998,2060
黒岩山,くろいわやま,36.90888888888889,139.3936111111111,2163
鬼怒沼山,きぬぬまやま,36.882777777777775,139.37166666666667,2141
朝日岳,あさひだけ,37.221111111111114,139.33972222222224,1624
丸山岳,まるやまだけ,37.172777777777775,139.33472222222224,1820
駒ヶ岳,こまがたけ,37.0475,139.3536111111111,2133
平ヶ岳,ひらがたけ,37.00194444444445,139.17083333333332,2141
景鶴山,けいづるやま,36.956944444444446,139.21055555555554,2004
燧ヶ岳<柴安嵓>,ひうちがたけ<しばやすぐら>,36.955000000000005,139.28527777777776,2356
至仏山,しぶつさん,36.90361111111111,139.17333333333332,2228
武尊山,ほたかやま,36.805277777777775,139.13250000000002,2158
御神楽岳,みかぐらだけ,37.52194444444444,139.42583333333332,1386
粟ヶ岳,あわがたけ,37.555277777777775,139.18861111111113,1293
矢筈岳,やはずだけ,37.5125,139.26611111111112,1257
守門岳,すもんだけ,37.397777777777776,139.13666666666666,1537
浅草岳,あさくさだけ,37.343611111111116,139.2336111111111,1585
毛猛山,けもうやま,37.25666666666667,139.17527777777778,1517
未丈ヶ岳,みじょうがたけ,37.18333333333333,139.18944444444446,1553
駒ヶ岳,こまがたけ,37.12361111111111,139.07527777777779,2003
八海山<入道岳>,はっかいさん<にゅうどうだけ>,37.10388888888889,139.02472222222224,1778
中ノ岳,なかのだけ,37.08527777777778,139.0775,2085
荒沢岳,あらさわだけ,37.10055555555556,139.14805555555554,1969
下津川山,しもつごうやま,36.99472222222222,139.05,1928
巻機山,まきはたやま,36.978611111111114,138.96416666666664,1967
大源太山,だいげんたさん,36.902499999999996,138.92694444444444,1598
朝日岳,あさひだけ,36.88055555555555,138.9725,1945
朝日岳<白毛門>,あさひだけ<しらがもん>,36.859722222222224,138.96722222222223,1720
谷川岳<茂倉岳>,たにがわだけ<しげくらだけ>,36.84916666666667,138.91666666666666,1978
谷川岳<一ノ倉岳>,たにがわだけ<いちのくらだけ>,36.84722222222222,138.92444444444445,1974
谷川岳<オキノ耳>,たにがわだけ<おきのみみ>,36.83722222222222,138.92999999999998,1977
万太郎山,まんたろうさん,36.82416666666667,138.87916666666666,1954
仙ノ倉山,せんのくらやま,36.8175,138.83944444444447,2026
吾妻耶山,あづまやさん,36.74638888888889,138.9272222222222,1341
苗場山,なえばさん,36.84583333333334,138.6902777777778,2145
佐武流山,さぶりゅうやま,36.77222222222222,138.67055555555555,2192
白砂山,しらすなやま,36.738055555555555,138.69361111111112,2140
鳥甲山,とりかぶとやま,36.83916666666667,138.5838888888889,2038
高社山,こうしゃさん,36.799166666666665,138.4038888888889,1351
岩菅山<裏岩菅山>,いわすげやま<うらいわすげやま>,36.75277777777778,138.56805555555556,2341
岩菅山,いわすげやま,36.74194444444444,138.55944444444447,2295
志賀山,しがやま,36.70027777777778,138.51583333333335,2037
笠ヶ岳,かさがたけ,36.67666666666666,138.4813888888889,2076
横手山,よこてやま,36.66888888888889,138.52583333333334,2307
白根山,しらねさん,36.64388888888889,138.5277777777778,2160
本白根山,もとしらねさん,36.62277777777778,138.53194444444446,2171
四阿山,あずまやさん,36.541666666666664,138.41305555555556,2354
四阿山<根子岳>,あずまやさん<ねこだけ>,36.549166666666665,138.39527777777778,2207
